model_id;model_name;creation_date;parameters;env_data_version;mae;rmse;r2;mean_true;mean_pred;std_true;std_pred
1;Spatiotemporal Random Forest;2026-01-06 02:22:17;[('distance_measure', 'euclidean'), ('kernel_type', 'bisquare'), ('neighbour_count', 0.4), ('n_estimators', 50), ('min_samples_leaf', 8), ('max_features', 4), ('criterion', 'absolute_error')];1;83.73696550754086;161.3279272414638;0.11110064503675783;102.55785783392676;70.42628104102225;171.1133139762695;57.47960358146266
2;Random Forest;2026-01-04 20:57:26;[('n_estimators', 100), ('min_samples_leaf', 8), ('max_features', 11), ('criterion', 'absolute_error')];1;85.36679065211564;162.1934026475455;0.10153598355403266;102.55785783392676;70.90347411781457;171.1133139762695;53.28187945079477
3;Geographically Weighted Regression;2026-01-04 21:07:45;[('distance_measure', 'euclidean'), ('kernel_type', 'gaussian'), ('neighbour_count', 0.12)];1;84.6267094781472;173.30374573978213;-0.025765986716924427;102.55785783392675;48.25568180970988;171.1133139762695;57.906039885673415
4;Linear Regression;2026-01-04 22:44:19;[];1;88.6980765837031;179.23113767935837;-0.09713310115019813;102.55785783392675;40.635900663592224;171.1133139762695;43.701826751159096
